name,skill_and_competency,cost,responsiveness_waitings,speed,accuracy_and_completeness,friendliness_and_courtesy,modern_equipment,location
Austria,83.64363396984122,76.72321518332606,76.06319451368807,82.30520751428756,90.70072992700729,67.83416273634187,84.06085975727639,83.02818753747093
Belgium,87.23677955923328,64.92762048392682,81.14529168094519,75.88149039898747,86.31811237480903,75.07578954711792,86.47250776949423,76.31177374484142
Bulgaria,23.953627653804503,40.36093678877127,33.78139877295475,46.28629677807552,8.349652839594091,0.0,0.0,54.682100688611776
Croatia,58.205817948841734,70.97383649442011,24.08831672101523,25.5152597388694,47.50182481751825,48.60548212867551,32.32980402947168,63.78650230465026
Cyprus,1.8166685768822495,30.480784224040246,41.054389425138645,29.84716708846665,4.872262773722631,34.505162210711255,15.6291780546386,27.76669191950003
Czech Republic,90.46299334135324,92.63000381322901,61.63851032878016,71.94555480321306,76.66265856013007,41.83142381392257,75.27644381749826,86.69347217346707
Denmark,80.33278680308443,100.0,67.28530184838397,60.45931235895393,82.21354608725173,100.0,90.21800179980414,77.85310404119808
Estonia,80.94136852128962,86.6802427346469,56.87071570116564,68.60068127423801,94.25912408759125,59.93780879927195,87.1408244277124,86.32851779425064
Finland,90.3062249493469,79.02893997500452,75.20307885655089,74.58453913889996,96.09274366680978,79.26833171331738,92.04371056071837,81.25233415605874
France,100.0,88.62022724201377,76.65676485560296,82.47014458581269,94.76676795839727,70.86536241176208,84.01498794303586,85.08372116959849
Germany,74.08484575560131,62.980946178513186,55.26104190738776,66.06307937483025,75.62445590303352,54.8315057030058,82.97097795011598,77.32238553294242
Greece,36.60430701531291,41.00312634740773,16.384144871999478,20.096335248992027,22.11981566820277,34.85759404038693,12.430733726812928,33.28239877514514
Hungary,32.540370409120165,46.0377730300728,5.244287095152143,0.0,16.42335766423357,1.4952505516328713,2.272060711438529,30.790702182849866
Ireland,3.264861923547812,0.0,0.0,1.1909345242678564,10.963124466774103,73.18037816387101,33.720845891610686,15.140834594337276
Italy,67.41941858051985,55.32484246876454,31.809452679226567,32.24850268811137,67.20108157565909,49.637014749402155,62.437324213773,50.88688564259684
Latvia,50.48770713306151,31.05571084562113,37.877570012948844,52.52173881632834,43.58564143585642,45.058096603766394,47.088450525917246,69.8050220740137
Lithuania,69.1528849330509,80.41078060718074,65.590917767047,68.80151575492077,67.29666319082376,52.067505114285154,73.30963424489389,84.58357966862219
Luxembourg,79.30893755951571,59.36330060783006,90.08039186359558,100.0,86.53166941370378,73.85867209123954,87.54475422055648,88.50969045128623
Malta,0.0,27.250627061431963,24.55384513117089,12.48251284093578,0.0,14.775701049402103,13.764718739666757,0.0
Netherlands,91.23524686811596,61.86405359456495,100.0,87.7434526180046,100.0,99.9690900539659,100.0,100.0
Poland,18.066827445913926,41.673666089428295,18.355021532446415,28.51793195212383,27.951910691283803,21.354617259475198,40.47935967060661,43.83774378771877
Portugal,83.29299312376959,72.01679886067132,53.72721963448854,55.94883783616717,76.51830520072991,84.28904097435932,60.98664274072656,77.88420474773102
Romania,26.898939470309173,29.956955318453076,28.880744095905346,29.58124582479152,24.257442990784455,13.828096629891382,10.904261935039845,44.664257283376756
Slovakia,30.026240180419684,57.37146886268854,10.451408706163171,27.55939708902229,39.9848326855626,16.36812315639807,16.836272384438733,52.791658209001035
Slovenia,65.28547320276338,76.08104156887538,10.40887437360616,30.697938081450626,52.872813277331474,60.429446166598936,49.3689500078596,76.61755779075308
Spain,94.95422536230416,92.31663213914416,59.96103574312605,61.92737347721583,89.61810602309572,84.98177751359988,84.70745277232257,91.33962215502984
Sweden,44.59114048213992,72.6747121606109,35.91857784610061,33.307081130023406,55.91545012165449,73.22670558875438,83.26688240882537,57.11238563771025
